lastname,name,type,gender,screen_name,provincia,partido,bloque,interbloque,screen_name_corrected,followers_count,friends_count,statuses_count,favourites_count,birth,age,age_bucket
Carambia, Antonio Jose,D,M,JosemaCarambia,Santa Cruz,,UNIDAD Y EQUIDAD FEDERAL,Unidad Federal para el Desarrollo,JosemaCarambia,482,140,179,17,28/01/1982,38,36-40
Carrio, Elisa Maria Avelina,D,F,elisacarrio,Ciudad De Buenos Aires,,COALICION CIVICA,Juntos por el Cambio,elisacarrio,1196174,347,10108,1536,26/01/1957,63,61-65
Carrizo, Ana Carla,D,F,CarlaCarrizoAR,Ciudad De Buenos Aires,,UCR,Juntos por el Cambio,CarlaCarrizoAR,16664,3323,14665,29121,6/6/66,54,51-55
Carrizo, Maria Soledad,D,F,MSoleCarrizo,Cordoba,,UCR,Juntos por el Cambio,MSoleCarrizo,8950,3100,11237,13782,21/04/1977,43,41-45
Carro, Pablo,D,M,PabloCarroOk,Cordoba,,FRENTE DE TODOS,Frente de Todos,PabloCarroOk,7774,975,1270,1068,29/03/1965,55,51-55
Cassinerio, Paulo Leonardo,D,M,paulocassinerio,Cordoba,,CORDOBA FEDERAL,Federal,paulocassinerio,3473,707,1144,1009,17/06/1979,41,41-45
Castro, Sandra Daniela,D,F,d_castrooficial,San Juan,,FRENTE DE TODOS,Frente de Todos,d_castrooficial,4493,2110,2893,13588,13/01/1985,35,-35
Cerruti, Gabriela,D,F,gabicerru,Ciudad De Buenos Aires,,FRENTE DE TODOS,Frente de Todos,gabicerru,254461,864,70542,12800,9/12/65,54,51-55
Contigiani, Luis Gustavo,D,M,LuisContigiani,Santa Fe,,FRENTE PROGRESISTA CIVICO Y SOCIAL,Federal,LuisContigiani,11861,1808,3971,958,21/01/1972,48,46-50
Correa, Walter,D,M,dipwaltercorrea,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,dipwaltercorrea,13228,452,18088,2622,30/10/1965,54,51-55
Cresto, Mayda,D,F,MaydaCresto,Entre Rios,,FRENTE DE TODOS,Frente de Todos,MaydaCresto,6955,3389,24913,3729,6/2/72,48,46-50
Del Caño, Nicolas,D,M,NicolasdelCano,Buenos Aires,,PTS - FRENTE DE IZQUIERDA,PTS -Frente de Izquierda,NicolasdelCano,135625,1259,25331,16016,6/2/80,40,36-40
Del Cerro, Gonzalo Pedro Antonio,D,M,gondelcerro,Santa Fe,,UCR,Juntos por el Cambio,gondelcerro,981,411,931,2618,29/06/1943,77,70+
Del Pla, Romina,D,F,RominaDelPla,Buenos Aires,,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,Frente de Izquierda y de los Trabajadores,RominaDelPla,18530,786,5177,8215,2/4/72,48,46-50
Delu, Melina Aida,D,F,MelinaDelu,La Pampa,,FRENTE DE TODOS,Frente de Todos,MelinaDelu,707,22,25,1,18/06/1976,44,41-45
Espinoza, Fernando,D,M,FerEspinozaOK,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,FerEspinozaOK,100643,756,12004,3706,30/12/1968,51,51-55
Felix, Omar Chafi,D,M,omarchafifelix,Mendoza,,FRENTE DE TODOS,Frente de Todos,omarchafifelix,4175,596,2358,55,30/06/1960,60,56-60
Fernandez Langan, Ezequiel,D,M,eflangan,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,eflangan,9366,398,8861,689,20/07/1978,41,41-45
Fernandez, Carlos Alberto,D,M,CFernandezUCR,Buenos Aires,,UCR,Juntos por el Cambio,CFernandezUCR,3866,623,5933,201,14/03/1959,61,61-65
Filmus, Daniel,D,M,FilmusDaniel,Ciudad De Buenos Aires,,FRENTE DE TODOS,Frente de Todos,FilmusDaniel,358937,625,31374,3865,3/6/55,65,61-65
Flores, Danilo Adrian,D,M,DaniloAFlores,La Rioja,,FRENTE DE TODOS,Frente de Todos,DaniloAFlores,2077,174,1316,724,9/10/70,49,46-50
Flores, Hector,D,M,TotyFlores,Buenos Aires,,COALICION CIVICA,Juntos por el Cambio,TotyFlores,63822,856,27610,25046,8/11/53,66,66-70
Fregonese, Alicia,D,F,aliciafregonese,Entre Rios,,FRENTE PRO,Juntos por el Cambio,aliciafregonese,2071,1019,4159,6565,9/1/61,59,56-60
Frizza, Gabriel Alberto,D,M,gabrielfrizza,Cordoba,,FRENTE PRO,Juntos por el Cambio,gabrielfrizza,5382,473,6414,1215,,,
Garcia, Alejandro,D,M,alejandrojg,Ciudad De Buenos Aires,,FRENTE PRO,Juntos por el Cambio,alejandrojg,7009,1867,4974,1619,13/08/1967,52,51-55
Ginocchio, Silvana Micaela,D,F,SilGinocchio,Catamarca,,FRENTE DE TODOS,Frente de Todos,SilGinocchio,361,221,1262,1591,10/10/65,54,51-55
Grande, Martin,D,M,MartinGrandeok,Salta,,FRENTE PRO,Juntos por el Cambio,MartinGrandeok,5831,345,1560,1066,19/07/1959,60,56-60
Iglesias, Fernando Adolfo,D,M,FerIglesias,Ciudad De Buenos Aires,,FRENTE PRO,Juntos por el Cambio,FerIglesias,303556,534,129733,63,14/05/1957,63,61-65
Lacoste, Jorge Enrique,D,M,jorgeelacoste,Entre Rios,,UCR,Juntos por el Cambio,jorgeelacoste,1312,282,1842,1766,16/07/1964,55,51-55
Laspina, Luciano Andres,D,M,LaspinaL,Santa Fe,,FRENTE PRO,Juntos por el Cambio,LaspinaL,25359,355,2905,1467,8/8/72,47,46-50
Lehmann, Maria Lucila,D,F,LucilaLehmann,Santa Fe,,COALICION CIVICA,Juntos por el Cambio,LucilaLehmann,37958,21722,3178,2793,28/05/1983,37,36-40
Llaryora, Martin Miguel,D,M,MartinLlaryora,Cordoba,,CORDOBA FEDERAL,Federal,MartinLlaryora,43820,109,8088,677,6/10/72,47,46-50
Lopez, Juan Manuel,D,M,JnmLopez,Ciudad De Buenos Aires,,COALICION CIVICA,Juntos por el Cambio,JnmLopez,15521,528,8334,6537,16/09/1983,36,36-40
Macha, Monica,D,F,MoniMacha,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,MoniMacha,35702,522,11605,8911,17/02/1972,48,46-50
Maquieyra, Martin,D,M,Martinmaq,La Pampa,,FRENTE PRO,Juntos por el Cambio,Martinmaq,3414,436,2478,539,10/11/88,31,-35
Martiarena, Jose Luis,D,M,MartiarenaJoseL,Jujuy,,FRENTE DE TODOS,Frente de Todos,MartiarenaJoseL,462,1734,179,66,,,
Matzen, Lorena,D,F,lorematzen,Rio Negro,,UCR,Juntos por el Cambio,lorematzen,4447,969,6821,10324,23/02/1979,41,41-45
Medina, Gladys,D,F,GladysMedinaOK,Tucuman,,FRENTE DE TODOS,Frente de Todos,GladysMedinaOK,1559,171,178,241,,,
Medina, Martin Nicolas,D,M,MEDINAMN,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,MEDINAMN,1582,929,5330,279,16/06/1985,35,-35
Mendoza, Josefina,D,F,JosefaMendo,Buenos Aires,,UCR,Juntos por el Cambio,JosefaMendo,10142,1737,5491,8844,16/05/1992,28,-35
Menna, Gustavo,D,M,gustamenna,Chubut,,UCR,Juntos por el Cambio,gustamenna,5688,452,4258,20146,1/11/65,54,51-55
Mestre, Diego Matias,D,M,DiegoMMestre,Cordoba,,UCR,Juntos por el Cambio,DiegoMMestre,17706,5388,3403,7011,16/03/1978,42,41-45
Monaldi, Osmar Antonio,D,M,OsmarMonaldi,Jujuy,,FRENTE PRO,Juntos por el Cambio,OsmarMonaldi,1215,456,705,1821,5/7/64,56,56-60
Montenegro, Guillermo Tristan,D,M,gmontenegro_ok,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,gmontenegro_ok,51763,254,4631,2336,30/12/1962,57,56-60
Morales, Flavia,D,F,flalomorales,Misiones,,FRENTE DE LA CONCORDIA MISIONERO,Unidad Federal para el Desarrollo,flalomorales,3365,1038,16577,11219,7/2/75,45,41-45
Moreau, Leopoldo Raul Guido,D,M,MoreauLeopoldo,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,MoreauLeopoldo,168056,2158,4703,2447,5/11/46,73,70+
Mosqueda, Juan,D,M,JuanMosqueda_ar,Chaco,,FRENTE DE TODOS,Frente de Todos,JuanMosqueda_ar,537,146,2917,3322,13/02/1962,58,56-60
Muñoz, Rosa Rosario,D,F,RosaRosario06,Chubut,,FRENTE DE TODOS,Frente de Todos,RosaRosario06,1053,236,823,560,6/11/50,69,66-70
Najul, Claudia,D,F,ClauNaj,Mendoza,,UCR,Juntos por el Cambio,ClauNaj,8959,2531,15263,46044,14/04/1962,58,56-60
Ocaña, Maria Graciela,D,F,gracielaocana,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,gracielaocana,244754,1157,23388,13696,16/09/1960,59,56-60
Oliveto Lago, Paula Mariana,D,F,pau_oliveto,Ciudad De Buenos Aires,,COALICION CIVICA,Juntos por el Cambio,pau_oliveto,119824,478,7962,4639,10/2/73,47,46-50
Pastori, Luis Mario,D,M,luispastori,Misiones,,UCR,Juntos por el Cambio,luispastori,5348,4370,3394,683,13/03/1952,68,66-70
Perez, Martin Alejandro,D,M,MartinPerezTDF,Tierra Del Fuego,,FRENTE DE TODOS,Frente de Todos,MartinPerezTDF,13891,1036,5748,3874,6/5/80,40,36-40
Pertile, Elda,D,F,eldapertile,Chaco,,FRENTE DE TODOS,Frente de Todos,eldapertile,1719,278,3554,245,3/6/53,67,66-70
Petri, Luis Alfonso,D,M,luispetri,Mendoza,,UCR,Juntos por el Cambio,luispetri,34334,2859,10247,4263,1/4/77,43,41-45
Piccolomini, Maria Carla,D,F,mpiccolomini,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,mpiccolomini,1160,716,651,429,28/02/1980,40,36-40
Pietragalla Corti, Horacio,D,M,pietragallahora,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,pietragallahora,63450,1137,33681,34032,11/3/76,44,41-45
Polledo, Carmen,D,F,carmenpolledo,Ciudad De Buenos Aires,,FRENTE PRO,Juntos por el Cambio,carmenpolledo,16700,669,5375,6508,14/12/1952,67,66-70
Quetglas, Fabio Jose,D,M,fabiojquetglas,Buenos Aires,,UCR,Juntos por el Cambio,fabiojquetglas,10200,2376,11546,15259,6/5/65,55,51-55
Ramon, Jose Luis,D,M,jlramonar1,Mendoza,,UNIDAD Y EQUIDAD FEDERAL,Unidad Federal para el Desarrollo,jlramonar1,2,0,0,0,29/04/1964,56,56-60
Rauschenberger, Ariel,D,M,RauschenbergerA,La Pampa,,FRENTE DE TODOS,Frente de Todos,RauschenbergerA,1467,316,825,1084,23/04/1966,54,51-55
Regidor Belledone, Estela Mercedes,D,F,estelaregidorok,Corrientes,,UCR,Juntos por el Cambio,estelaregidorok,3796,735,1652,725,24/03/1970,50,46-50
Reyes, Roxana Nahir,D,F,DipRoxanaReyes,Santa Cruz,,UCR,Juntos por el Cambio,DipRoxanaReyes,3618,915,6217,7466,2/12/65,54,51-55
Riccardo, Jose Luis,D,M,joselriccardo,San Luis,,UCR,Juntos por el Cambio,joselriccardo,3680,629,5034,952,4/9/61,58,56-60
Rodenas, Alejandra,D,F,rodenasale,Santa Fe,,NUEVO ESPACIO SANTAFESINO,Frente de Todos,rodenasale,16301,1053,2927,9683,26/09/1963,56,56-60
Romero, Jorge Antonio,D,M,jromero581,Corrientes,,FRENTE DE TODOS,Frente de Todos,jromero581,810,227,863,705,17/02/1958,62,61-65
Rossi, Agustin Oscar,D,M,RossiAgustinOk,Santa Fe,,FRENTE DE TODOS,Frente de Todos,RossiAgustinOk,211034,1159,16050,7780,18/10/1959,60,56-60
Rosso, Victoria,D,F,vicky_rosso,San Luis,,FRENTE DE TODOS,Frente de Todos,vicky_rosso,385,442,1499,499,15/03/1989,31,-35
Russo, Laura,D,F,LauRussoS,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,LauraYokoRusso,1713,214,591,71,1/11/81,38,36-40
Sahad, Julio Enrique,D,M,SahadJulio,La Rioja,,FRENTE PRO,Juntos por el Cambio,SahadJulio,2780,656,3839,3508,1/7/56,64,61-65
Salvarezza, Roberto,D,M,RCSalvarezza,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,RCSalvarezza,51081,904,7457,19909,3/1/52,68,66-70
Sapag, Alma Liliana,D,F,AlmaSapag,Neuquen,,MOV POP NEUQUINO,Mov Pop Neuquino,AlmaSapag,1274,130,444,60,2/10/52,67,66-70
Scaglia, Gisela,D,F,GiScaglia,Santa Fe,,FRENTE PRO,Juntos por el Cambio,GiScaglia,7849,2325,9159,4129,22/10/1976,43,41-45
Schlereth, David Pablo,D,M,davidnqn2017,Neuquen,,FRENTE PRO,Juntos por el Cambio,davidsnqn,6276,851,5200,3010,11/4/70,50,46-50
Scioli, Daniel,D,M,danielscioli,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,danielscioli,1409079,877,9045,1525,13/01/1957,63,61-65
Sierra, Magdalena,D,F,MSierraFpv,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,MSierraDiputada,7839,459,3509,3162,25/06/1966,54,51-55
Siley, Vanesa,D,F,Vsiley,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,Vsiley,25170,495,6003,4333,,,
Sola, Felipe Carlos,D,M,felipe_sola,Buenos Aires,,RED POR ARGENTINA,Frente de Todos,felipe_sola,276471,11231,5738,1745,23/07/1950,69,66-70
Stefani, Hector Antonio,D,M,Titostefani,Tierra Del Fuego,,FRENTE PRO,Juntos por el Cambio,Titostefani,1921,255,2969,3470,6/11/59,60,56-60
Suarez Lastra, Facundo,D,M,fsuarezlastra,Ciudad De Buenos Aires,,UCR,Juntos por el Cambio,fsuarezlastra,15608,1816,14906,11900,24/02/1952,68,66-70
Terada, Alicia,D,F,TeradaAlicia,Chaco,,COALICION CIVICA,Juntos por el Cambio,TeradaAlicia,1691,721,515,45,19/08/1952,67,66-70
Tundis, Mirta,D,F,mirtatundis,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,mirtatundis,21113,277,4670,2625,8/9/56,63,61-65
Vallejos, Fernanda,D,F,fvallejoss,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,fvallejoss,75932,930,30486,68747,9/3/79,41,41-45
Vazquez, Juan Benedicto,D,M,JuanVazquezFPV,Santa Cruz,,FRENTE DE TODOS,Frente de Todos,JuanVazquezFPV,167,138,41,32,20/10/1966,53,51-55
Vigo, Alejandra Maria,D,F,alevigo,Cordoba,,CORDOBA FEDERAL,Federal,alevigo,8122,313,828,407,22/09/1957,62,61-65
Villa, Natalia Soledad,D,F,natuvilla,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,natuvilla,11,31,136,286,15/04/1979,41,41-45
Wellbach, Ricardo,D,M,RicardoWellbach,Misiones,,FRENTE DE LA CONCORDIA MISIONERO,Unidad Federal para el Desarrollo,RicardoWellbach,4547,494,2067,5469,15/02/1962,58,56-60
Yasky, Hugo,D,M,HugoYasky,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,HugoYasky,116578,492,7478,1326,10/10/49,70,66-70
Yedlin, Pablo Raul,D,M,pyedlin,Tucuman,,FRENTE DE TODOS,Frente de Todos,pyedlin,10944,204,5347,1321,16/07/1966,53,51-55
Zamarbide, Federico Raul,D,M,FZamarbide,Mendoza,,UCR,Juntos por el Cambio,FZamarbide,3387,1430,2824,7097,3/12/82,37,36-40
Zamora, Claudia,D,F,ClaudiaZamoraSV,Santiago Del Estero,,FRENTE CIVICO POR SANTIAGO,Frente de Todos,ClaudiaZamoraSV,771,217,288,1584,14/09/1974,45,41-45
Zottos, Andres,D,M,AndresZottos,Salta,,JUSTICIALISTA,Federal,AndresZottos,2769,483,3245,527,30/11/1961,58,56-60
Crexell,Lucila,S,F,LucilaCrexell,Neuquen,Juntos por el cambio,Movimiento Neuquino,Juntos por el Cambio,LucilaCrexell,134,47,21,13,10/8/72,47,46-50
De Angeli,Alfredo,S,M,alfredodeangeli,Entre Rios,Juntos por el cambio,FRENTE PRO,Juntos por el Cambio,alfredodeangeli,33102,384,2813,2659,16/02/1957,63,61-65
Pilatti Vergara,Maria Ines,S,F,pilattivergara,Chaco,Frente de todos,FRENTE DE TODOS,Frente de Todos,pilattivergara,7167,339,7758,7151,2/8/58,61,61-65
Romero,Juan Carlos,S,M,romeroxsalta,Salta,Juntos por el cambio,JUSTICIALISTA 8 de octubre,Juntos por el Cambio,romeroxsalta,9179,724,3940,1484,16/11/1950,69,66-70
