lastname,name,type,gender,screen_name,provincia,partido,bloque,interbloque,screen_name_corrected,followers_count,friends_count,statuses_count,favourites_count,birth,age,age_bucket
REUTEMANN,CARLOS ALBERTO,S,M,ReutemannC,SANTA FE,ALIANZA CAMBIEMOS,SANTA FE FEDERAL,Juntos por el Cambio,ReutemannC,2457,7,33,3,12/4/42,78,70+
RODRÍGUEZ MACHADO,LAURA ELENA,S,F,laurmachado,CÓRDOBA,ALIANZA CAMBIEMOS,FRENTE PRO,Juntos por el Cambio,laurmachado,17209,4092,11825,11400,9/4/65,55,51-55
RODRÍGUEZ SAÁ,ADOLFO,S,M,Adolfo_RSaa,SAN LUIS,FRENTE UNIDAD JUSTICIALISTA SAN LUIS,UNIDAD JUSTICIALISTA,Frente de Todos,adolfoRSaa,6755,2395,5129,26,25/07/1947,72,70+
SACNUN,MARÍA DE LOS ÁNGELES,S,F,sacnun,SANTA FE,ALIANZA FRENTE PARA LA VICTORIA,FRENTE DE TODOS,Frente de Todos,sacnun,6462,1106,6515,4091,17/08/1970,49,46-50
SCHIAVONI,HUMBERTO LUIS ARTURO,S,M,schiavonih,MISIONES,FRENTE CAMBIEMOS,FRENTE PRO,Juntos por el Cambio,schiavonih,7009,512,2042,428,10/7/58,61,61-65
SOLARI  QUINTANA,MAGDALENA,S,F,MaggieSolariQ,MISIONES,FRENTE RENOVADOR DE LA CONCORDIA,MISIONES,Frente Renovador de la Concordia,MaggieSolariQ,3275,127,3463,1581,23/01/1968,52,51-55
TAPIA,MARÍA BELÉN,S,F,MariabTapia,SANTA CRUZ,UNION PARA VIVIR MEJOR CAMBIEMOS,UCR,Juntos por el Cambio,MariabTapia,1123,114,74,341,10/11/73,46,46-50
VERASAY,PAMELA FERNANDA,S,F,PameVerasay,MENDOZA,ALIANZA CAMBIEMOS,UCR,Juntos por el Cambio,PameVerasay,7541,1207,5430,4979,26/04/1980,40,36-40
Álvarez Rodriguez, María Cristina,D,F,CrisAlvarezRod,BUENOS AIRES,,FRENTE DE TODOS,Frente de Todos,CrisAlvarezRod,67271,1932,12729,24585,28/12/1967,52,51-55
Álvarez, Diego Felipe,D,M,FelipeAlvarezLR,LA RIOJA,,PRODUCCIÓN Y TRABAJO,Juntos por el Cambio,FelipeAlvarezLR,5873,127,2095,1839,3/1/52,68,66-70
Amaya, Domingo Luis,D,M,DomingoAmayaOk,Tucuman,,FRENTE PRO,Juntos por el Cambio,DomingoAmayaOk,11305,474,5667,1227,,,
Angelini, Federico,D,M,fangelini,Santa Fe,,FRENTE PRO,Juntos por el Cambio,fangelini,15384,1517,21163,4389,19/08/1977,42,41-45
Aparicio, Alicia Noemí,D,F,AliAparicioOK,BUENOS AIRES,,FRENTE DE TODOS,Frente de Todos,AliAparicioOK,259,102,366,215,,,
Asseff, Alberto Emilio,D,M,albertoasseff,Buenos Aires,,FRENTE PRO,Juntos por el Cambio,albertoasseff,3199,1858,12470,857,31/10/1942,77,70+
Banfi, Karina Veronica,D,F,KBanfi,BUENOS AIRES,,UCR,Juntos por el Cambio,KBanfi,19939,1135,50495,56524,27/02/1972,48,46-50
Basterra, Luis Eugenio,D,M,LEBasterra,FORMOSA,,FRENTE DE TODOS,Frente de Todos,LEBasterra,12973,506,4010,3415,14/10/1958,61,61-65
Bazze, Miguel Ángel,D,M,bazzemiguel,BUENOS AIRES,,UCR,Juntos por el Cambio,bazzemiguel,6913,1279,2000,979,30/04/1955,65,61-65
Berhongaray, Martín Antonio,D,M,MBerhongaray,LA PAMPA,,UCR,Juntos por el Cambio,MBerhongaray,459,13,3,2,,,
Bermejo, Alejandro Daniel,D,M,AleBermejoMza,Mendoza,,FRENTE DE TODOS,Frente de Todos,AleBermejoMza,7105,449,6185,2282,,,
Bertone, Rosana Andrea,D,F,RosanaBertone,Tierra Del Fuego,,FRENTE DE TODOS,Frente de Todos,RosanaBertone,14696,157,7933,187,29/11/1962,57,56-60
Britez, María Cristina,D,F,cbritezmisiones,MISIONES,,FRENTE DE TODOS,Frente de Todos,cbritezmisiones,25932,4917,4747,8112,5/3/81,39,36-40
Buryaile, Ricardo,D,M,BuryaileRicardo,Formosa,,UCR,Juntos por el Cambio,BuryaileRicardo,38482,384,11498,4720,,,
Cacace, Alejandro,D,M,alejandrocacace,San Luis,,UCR,Juntos por el Cambio,alejandrocacace,6157,617,7205,3585,,,
Camaño, Graciela,D,F,GracielaCamano,Buenos Aires,,CONSENSO FEDERAL,Federal,GracielaCamano,21258,814,3875,517,25/04/1953,67,66-70
Caparrós, Mabel Luisa,D,F,MabelCaparros,Tierra Del Fuego,,FRENTE DE TODOS,Frente de Todos,MabelCaparros,1197,1065,3939,1752,,,
Carrizo, Nilda Mabel,D,F,mabelcarrizotuc,Tucuman,,FRENTE DE TODOS,Frente de Todos,mabelcarrizotuc,1744,555,1289,2675,13/01/1979,41,41-45
Casaretto, Marcelo Pablo,D,M,mpcasaretto,Entre Rios,,FRENTE DE TODOS,Frente de Todos,mpcasaretto,762,256,582,399,26/04/1967,53,51-55
Caselles, Graciela María,D,F,gcaselles,SAN JUAN,,FRENTE DE TODOS,Frente de Todos,gcaselles,416,183,11,0,5/10/66,53,51-55
Castagneto, Carlos Daniel,D,M,CastagnetoC,Buenos Aires,,FRENTE DE TODOS,Frente de Todos,CastagnetoC,21021,2097,20199,2234,1/11/60,59,56-60
Cleri, Marcos,D,M,marcoscleri,Santa Fe,,FRENTE DE TODOS,Frente de Todos,marcoscleri,12732,1381,23430,15351,12/1/82,38,36-40
